id dam sire mtHap
BNX98 FUL89 SCI87 153
BNX99 FUL89 SCI87 153
BOB20 VES15 DUB09 147
INI90 VER79 TEA80 136
BOE20 CES17 HALFE 147
BOE21 CES17 HALFE 147
MEG98 MAR95 DUN89 153
IRI13 AYE09 FLG00 147
IRI15 AYE09 TRT02 147
SCP17 EID03 WSD11 141
SCR00 GRA93 BASIL 130
SCR01 GRA93 HRM90 130
IVO01 EBO90 PEREG 147
IVO03 EBO90 KKONG 147
BOO13 YOG06 SHAGG 147
BOO14 YOG06 FRT03 147
BOO15 YOG06 TONKS 147
SCR99 GRA93 BASIL 130
IVO99 EBO90 BASIL 147
BOO18 YOG06 BOBBY 147
BOO19 YOG06 OXY09 147
IVY06 ILE87 SYC97 147
COO95 ANK91 TYS83 144
IVY92 ILE87 VER81 147
SDY13 RUM09 CLW00 143
BOU09 WIS04 ART00 158
BR281 BRO70 WHI72 141
IVY97 ILE87 TWE89 147
IVY98 ILE87 FUL90 147
IVY99 ILE87 SLT86 147
JAD07 RBY03 FRA96 143
BRB20 DUB15 GGZ13 143
JAD12 RBY03 RUSTY 143
JAD13 RBY03 SPD01 143
JAE00 BNX95 BUZZA 153
JAE02 BNX95 SANDY 153
BRF79 FEE71 MAXIS 135
JAE05 BNX95 SANDY 153
JAE08 BNX95 AIDAN 153
BRG92 MUR85 AVO84 130
BRG94 MUR85 KIW89 130
BRG95 MUR85 SAF85 130
JAY03 CGH95 KKONG 143
JAY05 CGH95 TNY94 143
JAY08 CGH95 PERCY 143
SEQ95 SYC91 AVO84 147
JEE03 HAL90 SYC96 133
BRS02 SKI94 CSK93 155
BRS99 SKI94 ATH91 155
BRY06 HIR03 CSK95 153
BRY07 HIR03 SPL99 153
BRY09 HIR03 EID01 153
BRY10 HIR03 KIT96 153
BRY11 HIR03 MND99 153
CRA86 BIG76 RED79 154
BRY13 HIR03 JAE05 153
JMC18 RAS13 WSD11 130
BRZ17 ZEP14 GLR09 143
JMC20 RAS13 WSD11 130
BSG14 VES10 SPD01 147
BSG15 VES10 STERN 147
